timestamp,step,tokens_seen,train_loss,val_loss,learning_rate
2026-06-15T12:11:52,60020,491683840,4.085583,4.295684,0.00000500
2026-06-15T12:12:14,60040,491847680,4.515417,4.295684,0.00000500
2026-06-15T12:12:39,60060,492011520,4.436347,4.295684,0.00000500
2026-06-15T12:12:59,60080,492175360,4.203781,4.295684,0.00000500
2026-06-15T12:13:20,60100,492339200,4.253996,4.295684,0.00000500
2026-06-15T12:13:39,60120,492503040,4.459107,4.295684,0.00000500
2026-06-15T12:13:59,60140,492666880,4.331442,4.295684,0.00000500
2026-06-15T12:14:19,60160,492830720,4.282555,4.295684,0.00000500
2026-06-15T12:14:40,60180,492994560,4.196951,4.295684,0.00000500
2026-06-15T12:15:07,60200,493158400,4.331357,4.295684,0.00000500
2026-06-15T12:15:38,60220,493322240,4.245799,4.295684,0.00000500
2026-06-15T12:16:08,60240,493486080,4.246749,4.295684,0.00000500
2026-06-15T12:16:33,60260,493649920,4.303997,4.295684,0.00000500
2026-06-15T12:16:59,60280,493813760,4.488643,4.295684,0.00000500
2026-06-15T12:17:31,60300,493977600,4.403659,4.295684,0.00000500
2026-06-15T12:18:11,60320,494141440,4.237974,4.295684,0.00000500
2026-06-15T12:18:59,60340,494305280,4.450589,4.295684,0.00000500
2026-06-15T12:19:21,60360,494469120,4.250768,4.295684,0.00000500
2026-06-15T12:19:42,60380,494632960,4.178372,4.295684,0.00000500
2026-06-15T12:20:06,60400,494796800,4.161351,4.295684,0.00000500
2026-06-15T12:40:06,60020,491683840,4.085583,4.295684,0.00000500
2026-06-15T21:44:27,60020,491683840,4.085583,4.295684,0.00000500
2026-06-15T21:44:48,60040,491847680,4.515417,4.295684,0.00000500
2026-06-15T21:45:09,60060,492011520,4.436347,4.295684,0.00000500
2026-06-15T21:45:30,60080,492175360,4.203781,4.295684,0.00000500
2026-06-15T21:45:51,60100,492339200,4.253996,4.295684,0.00000500
2026-06-15T21:46:12,60120,492503040,4.459107,4.295684,0.00000500
2026-06-15T21:46:33,60140,492666880,4.331442,4.295684,0.00000500
2026-06-15T21:46:54,60160,492830720,4.282555,4.295684,0.00000500
2026-06-15T21:47:15,60180,492994560,4.196951,4.295684,0.00000500
