timestamp,step,tokens_seen,train_loss,val_loss,learning_rate
2026-06-16T22:30:26,122120,1000570880,3.943404,4.258790,0.00000500
2026-06-16T22:30:50,122140,1000898560,4.362147,4.258790,0.00000500
2026-06-16T22:31:15,122160,1001226240,4.284246,4.258790,0.00000500
2026-06-16T22:31:40,122180,1001553920,4.068238,4.258790,0.00000500
2026-06-16T22:32:06,122200,1001881600,4.112555,4.258790,0.00000500
2026-06-16T22:32:30,122220,1002209280,4.310121,4.258790,0.00000500
2026-06-16T22:32:55,122240,1002536960,4.189574,4.258790,0.00000500
2026-06-16T22:33:20,122260,1002864640,4.133015,4.258790,0.00000500
2026-06-16T22:33:45,122280,1003192320,4.051799,4.258790,0.00000500
2026-06-16T22:34:09,122300,1003520000,4.186819,4.258790,0.00000500
2026-06-16T22:34:34,122320,1003847680,4.097915,4.258790,0.00000500
2026-06-16T22:34:59,122340,1004175360,4.105872,4.258790,0.00000500
2026-06-16T22:35:24,122360,1004503040,4.170590,4.258790,0.00000500
2026-06-16T22:35:49,122380,1004830720,4.330680,4.258790,0.00000500
2026-06-16T22:36:13,122400,1005158400,4.273119,4.258790,0.00000500
2026-06-16T22:36:38,122420,1005486080,4.091329,4.258790,0.00000500
2026-06-16T22:37:03,122440,1005813760,4.310210,4.258790,0.00000500
2026-06-16T22:37:27,122460,1006141440,4.110141,4.258790,0.00000500
2026-06-16T22:37:51,122480,1006469120,4.049503,4.258790,0.00000500
2026-06-16T22:38:33,122500,1006796800,4.181862,4.169270,0.00000500
2026-06-16T22:38:58,122520,1007124480,4.215061,4.169270,0.00000500
2026-06-16T22:39:22,122540,1007452160,4.116437,4.169270,0.00000500
2026-06-16T22:39:46,122560,1007779840,4.272656,4.169270,0.00000500
2026-06-16T22:40:11,122580,1008107520,4.188906,4.169270,0.00000500
2026-06-16T22:40:35,122600,1008435200,4.146448,4.169270,0.00000500
2026-06-16T22:40:59,122620,1008762880,3.972181,4.169270,0.00000500
2026-06-16T22:41:23,122640,1009090560,4.213020,4.169270,0.00000500
2026-06-16T22:41:48,122660,1009418240,4.017662,4.169270,0.00000500
2026-06-16T22:42:12,122680,1009745920,4.035590,4.169270,0.00000500
2026-06-16T22:42:35,122700,1010073600,4.351804,4.169270,0.00000500
2026-06-16T22:42:59,122720,1010401280,4.161994,4.169270,0.00000500
2026-06-16T22:43:24,122740,1010728960,4.092118,4.169270,0.00000500
2026-06-16T22:43:48,122760,1011056640,4.120859,4.169270,0.00000500
2026-06-16T22:44:12,122780,1011384320,4.260969,4.169270,0.00000500
2026-06-16T22:44:36,122800,1011712000,4.158116,4.169270,0.00000500
2026-06-16T22:45:00,122820,1012039680,3.891488,4.169270,0.00000500
2026-06-16T22:45:25,122840,1012367360,4.423359,4.169270,0.00000500
2026-06-16T22:45:48,122860,1012695040,4.237071,4.169270,0.00000500
2026-06-16T22:46:12,122880,1013022720,4.228402,4.169270,0.00000500
2026-06-16T22:46:37,122900,1013350400,4.190507,4.169270,0.00000500
2026-06-16T22:47:00,122920,1013678080,4.195391,4.169270,0.00000500
2026-06-16T22:47:25,122940,1014005760,4.232332,4.169270,0.00000500
2026-06-16T22:47:49,122960,1014333440,4.290046,4.169270,0.00000500
2026-06-16T22:48:13,122980,1014661120,4.138443,4.169270,0.00000500
2026-06-16T22:48:38,123000,1014988800,4.171444,4.184067,0.00000500
2026-06-16T22:49:02,123020,1015316480,4.241123,4.184067,0.00000500
2026-06-16T22:49:25,123040,1015644160,4.089503,4.184067,0.00000500
2026-06-16T22:49:49,123060,1015971840,4.051449,4.184067,0.00000500
2026-06-16T22:50:12,123080,1016299520,4.048047,4.184067,0.00000500
2026-06-16T22:50:36,123100,1016627200,4.284383,4.184067,0.00000500
2026-06-16T22:51:00,123120,1016954880,4.103464,4.184067,0.00000500
2026-06-16T22:51:24,123140,1017282560,4.041390,4.184067,0.00000500
2026-06-16T22:51:48,123160,1017610240,4.047089,4.184067,0.00000500
2026-06-16T22:52:12,123180,1017937920,4.137760,4.184067,0.00000500
2026-06-16T22:52:36,123200,1018265600,4.224975,4.184067,0.00000500
2026-06-16T22:53:00,123220,1018593280,4.228432,4.184067,0.00000500
2026-06-16T22:53:23,123240,1018920960,4.126253,4.184067,0.00000500
2026-06-16T22:53:47,123260,1019248640,4.023922,4.184067,0.00000500
2026-06-16T22:54:10,123280,1019576320,4.219403,4.184067,0.00000500
2026-06-16T22:54:34,123300,1019904000,4.219128,4.184067,0.00000500
2026-06-16T22:54:58,123320,1020231680,4.186926,4.184067,0.00000500
2026-06-16T22:55:22,123340,1020559360,4.233899,4.184067,0.00000500
2026-06-16T22:55:46,123360,1020887040,4.210452,4.184067,0.00000500
2026-06-16T22:56:10,123380,1021214720,4.156185,4.184067,0.00000500
2026-06-16T22:56:33,123400,1021542400,4.310186,4.184067,0.00000500
2026-06-16T22:56:57,123420,1021870080,4.201448,4.184067,0.00000500
2026-06-16T22:57:21,123440,1022197760,3.897888,4.184067,0.00000500
2026-06-16T22:57:44,123460,1022525440,4.094117,4.184067,0.00000500
2026-06-16T22:58:08,123480,1022853120,4.244560,4.184067,0.00000500
2026-06-16T22:58:48,123500,1023180800,4.122698,4.129058,0.00000500
2026-06-16T22:59:12,123520,1023508480,4.078145,4.129058,0.00000500
2026-06-16T22:59:35,123540,1023836160,4.107891,4.129058,0.00000500
2026-06-16T22:59:59,123560,1024163840,4.121900,4.129058,0.00000500
2026-06-16T23:00:22,123580,1024491520,3.976183,4.129058,0.00000500
2026-06-16T23:00:46,123600,1024819200,4.318808,4.129058,0.00000500
2026-06-16T23:01:09,123620,1025146880,4.082015,4.129058,0.00000500
2026-06-16T23:01:33,123640,1025474560,4.086429,4.129058,0.00000500
2026-06-16T23:01:57,123660,1025802240,3.958765,4.129058,0.00000500
2026-06-16T23:02:20,123680,1026129920,4.183065,4.129058,0.00000500
2026-06-16T23:02:44,123700,1026457600,4.123391,4.129058,0.00000500
2026-06-16T23:03:07,123720,1026785280,4.060029,4.129058,0.00000500
2026-06-16T23:03:31,123740,1027112960,4.244229,4.129058,0.00000500
2026-06-16T23:03:54,123760,1027440640,4.198607,4.129058,0.00000500
2026-06-16T23:04:17,123780,1027768320,4.186112,4.129058,0.00000500
2026-06-16T23:04:41,123800,1028096000,4.273700,4.129058,0.00000500
2026-06-16T23:05:04,123820,1028423680,4.271342,4.129058,0.00000500
2026-06-16T23:05:28,123840,1028751360,4.024966,4.129058,0.00000500
2026-06-16T23:05:51,123860,1029079040,4.324373,4.129058,0.00000500
2026-06-16T23:06:15,123880,1029406720,4.289239,4.129058,0.00000500
2026-06-16T23:06:38,123900,1029734400,4.094260,4.129058,0.00000500
2026-06-16T23:07:02,123920,1030062080,4.025186,4.129058,0.00000500
2026-06-16T23:07:25,123940,1030389760,4.184270,4.129058,0.00000500
2026-06-16T23:07:49,123960,1030717440,4.054971,4.129058,0.00000500
2026-06-16T23:08:12,123980,1031045120,4.089721,4.129058,0.00000500
2026-06-16T23:08:36,124000,1031372800,4.129120,4.233377,0.00000500
2026-06-16T23:08:57,124020,1031700480,4.117920,4.233377,0.00000500
2026-06-16T23:09:19,124040,1032028160,4.322100,4.233377,0.00000500
2026-06-16T23:09:43,124060,1032355840,4.043973,4.233377,0.00000500
2026-06-16T23:10:06,124080,1032683520,4.307613,4.233377,0.00000500
2026-06-16T23:10:30,124100,1033011200,4.219337,4.233377,0.00000500
2026-06-16T23:10:52,124120,1033338880,4.207146,4.233377,0.00000500
2026-06-16T23:11:15,124140,1033666560,4.046089,4.233377,0.00000500
2026-06-16T23:11:39,124160,1033994240,4.260909,4.233377,0.00000500
2026-06-16T23:12:02,124180,1034321920,4.196688,4.233377,0.00000500
2026-06-16T23:12:26,124200,1034649600,4.218306,4.233377,0.00000500
2026-06-16T23:12:49,124220,1034977280,4.130450,4.233377,0.00000500
2026-06-16T23:13:13,124240,1035304960,4.142641,4.233377,0.00000500
2026-06-16T23:13:36,124260,1035632640,3.847416,4.233377,0.00000500
2026-06-16T23:13:59,124280,1035960320,4.146931,4.233377,0.00000500
2026-06-16T23:14:23,124300,1036288000,4.107506,4.233377,0.00000500
2026-06-16T23:14:47,124320,1036615680,4.151546,4.233377,0.00000500
2026-06-16T23:15:10,124340,1036943360,4.035779,4.233377,0.00000500
2026-06-16T23:15:33,124360,1037271040,4.221679,4.233377,0.00000500
2026-06-16T23:15:56,124380,1037598720,4.043336,4.233377,0.00000500
2026-06-16T23:16:20,124400,1037926400,4.055058,4.233377,0.00000500
2026-06-16T23:16:43,124420,1038254080,4.245747,4.233377,0.00000500
2026-06-16T23:17:07,124440,1038581760,4.106327,4.233377,0.00000500
2026-06-16T23:17:30,124460,1038909440,4.221416,4.233377,0.00000500
2026-06-16T23:17:53,124480,1039237120,4.076117,4.233377,0.00000500
2026-06-16T23:18:33,124500,1039564800,4.164100,4.120051,0.00000500
2026-06-16T23:18:57,124520,1039892480,4.130562,4.120051,0.00000500
2026-06-16T23:19:20,124540,1040220160,4.187333,4.120051,0.00000500
2026-06-16T23:19:43,124560,1040547840,4.164238,4.120051,0.00000500
2026-06-16T23:20:06,124580,1040875520,4.127223,4.120051,0.00000500
2026-06-16T23:20:29,124600,1041203200,4.111407,4.120051,0.00000500
2026-06-16T23:20:53,124620,1041530880,4.299923,4.120051,0.00000500
2026-06-16T23:21:16,124640,1041858560,4.167647,4.120051,0.00000500
2026-06-16T23:21:39,124660,1042186240,4.190273,4.120051,0.00000500
2026-06-16T23:22:02,124680,1042513920,4.014189,4.120051,0.00000500
2026-06-16T23:22:25,124700,1042841600,4.244695,4.120051,0.00000500
