step,tokens_seen,train_loss,val_loss,learning_rate
2460,20152320,5.275222,5.395348,0.00008796
2480,20316160,5.447570,5.395348,0.00008776
2500,20480000,5.314923,5.395348,0.00008757
2520,20643840,5.218851,5.395348,0.00008737
2540,20807680,5.462301,5.395348,0.00008717
2560,20971520,5.338867,5.395348,0.00008697
2580,21135360,5.438694,5.395348,0.00008677
2600,21299200,5.211105,5.315364,0.00008657
2620,21463040,5.336728,5.315364,0.00008636
2640,21626880,5.244085,5.315364,0.00008616
2660,21790720,5.264861,5.315364,0.00008595
2680,21954560,5.331223,5.315364,0.00008574
2700,22118400,5.439039,5.315364,0.00008553
2720,22282240,5.460075,5.315364,0.00008532
2740,22446080,5.431231,5.315364,0.00008511
2760,22609920,5.285306,5.315364,0.00008490
2780,22773760,5.501865,5.315364,0.00008468
2800,22937600,5.234816,5.354928,0.00008447
2820,23101440,5.167598,5.354928,0.00008425
2840,23265280,5.214013,5.354928,0.00008403
2860,23429120,5.312579,5.354928,0.00008382
2880,23592960,5.178136,5.354928,0.00008360
2900,23756800,5.175246,5.354928,0.00008337
2920,23920640,5.470450,5.354928,0.00008315
2940,24084480,5.524765,5.354928,0.00008293
2960,24248320,5.329064,5.354928,0.00008270
2980,24412160,5.259238,5.354928,0.00008248
3000,24576000,5.383115,5.338373,0.00008225
3020,24739840,5.207688,5.338373,0.00008202
3040,24903680,5.312319,5.338373,0.00008180
3060,25067520,5.355666,5.338373,0.00008157
3080,25231360,5.138274,5.338373,0.00008133
3100,25395200,5.164540,5.338373,0.00008110
3120,25559040,5.153827,5.338373,0.00008087
3140,25722880,5.162217,5.338373,0.00008064
3160,25886720,5.276852,5.338373,0.00008040
3180,26050560,5.292035,5.338373,0.00008016
3200,26214400,5.324377,5.136854,0.00007993
3220,26378240,5.194335,5.136854,0.00007969
3240,26542080,5.140728,5.136854,0.00007945
3260,26705920,5.367081,5.136854,0.00007921
3280,26869760,5.316484,5.136854,0.00007897
3300,27033600,5.031021,5.136854,0.00007873
3320,27197440,5.165880,5.136854,0.00007848
3340,27361280,5.297052,5.136854,0.00007824
3360,27525120,5.053861,5.136854,0.00007799
3380,27688960,5.302448,5.136854,0.00007775
3400,27852800,5.145521,5.102491,0.00007750
3420,28016640,5.103435,5.102491,0.00007725
3440,28180480,5.153780,5.102491,0.00007700
3460,28344320,5.387352,5.102491,0.00007675
3480,28508160,5.228971,5.102491,0.00007650
3500,28672000,5.276008,5.102491,0.00007625
3520,28835840,4.976681,5.102491,0.00007600
3540,28999680,5.253030,5.102491,0.00007575
3560,29163520,5.312251,5.102491,0.00007549
3580,29327360,5.280907,5.102491,0.00007524
3600,29491200,5.148850,5.168237,0.00007498
3620,29655040,5.221944,5.168237,0.00007473
3640,29818880,5.167160,5.168237,0.00007447
3660,29982720,4.998553,5.168237,0.00007421
3680,30146560,5.132910,5.168237,0.00007395
3700,30310400,5.051540,5.168237,0.00007369
3720,30474240,5.280248,5.168237,0.00007343
3740,30638080,5.181016,5.168237,0.00007317
3760,30801920,5.140127,5.168237,0.00007291
3780,30965760,5.151432,5.168237,0.00007265
3800,31129600,5.140815,5.153370,0.00007239
3820,31293440,5.223582,5.153370,0.00007212
3840,31457280,5.095130,5.153370,0.00007186
3860,31621120,4.993574,5.153370,0.00007159
3880,31784960,5.202281,5.153370,0.00007133
3900,31948800,5.098250,5.153370,0.00007106
3920,32112640,5.068542,5.153370,0.00007079
3940,32276480,4.884652,5.153370,0.00007053
3960,32440320,5.212025,5.153370,0.00007026
3980,32604160,5.035190,5.153370,0.00006999
4000,32768000,5.032306,5.125654,0.00006972
4020,32931840,5.051697,5.125654,0.00006945
4040,33095680,4.965075,5.125654,0.00006918
4060,33259520,5.195750,5.125654,0.00006891
4080,33423360,4.910195,5.125654,0.00006863
4100,33587200,5.091347,5.125654,0.00006836
4120,33751040,4.935763,5.125654,0.00006809
4140,33914880,5.019470,5.125654,0.00006781
4160,34078720,4.991553,5.125654,0.00006754
4180,34242560,5.170694,5.125654,0.00006727
4200,34406400,5.082056,4.999774,0.00006699
4220,34570240,4.985749,4.999774,0.00006672
4240,34734080,5.019819,4.999774,0.00006644
4260,34897920,5.087784,4.999774,0.00006616
4280,35061760,5.077140,4.999774,0.00006589
4300,35225600,5.371585,4.999774,0.00006561
4320,35389440,5.046883,4.999774,0.00006533
4340,35553280,4.826794,4.999774,0.00006505
4360,35717120,5.188731,4.999774,0.00006477
4380,35880960,5.028972,4.999774,0.00006450
4400,36044800,4.995928,4.918607,0.00006422
4420,36208640,5.099814,4.918607,0.00006394
4440,36372480,5.102548,4.918607,0.00006366
4460,36536320,5.052232,4.918607,0.00006338
4480,36700160,5.243537,4.918607,0.00006310
4500,36864000,4.986148,4.918607,0.00006281
4520,37027840,4.882058,4.918607,0.00006253
4540,37191680,4.876878,4.918607,0.00006225
4560,37355520,4.997952,4.918607,0.00006197
4580,37519360,4.800378,4.918607,0.00006169
4600,37683200,5.110994,4.938492,0.00006140
4620,37847040,4.984819,4.938492,0.00006112
4640,38010880,4.840972,4.938492,0.00006084
4660,38174720,5.031797,4.938492,0.00006055
4680,38338560,5.085671,4.938492,0.00006027
4700,38502400,4.802730,4.938492,0.00005999
4720,38666240,4.961863,4.938492,0.00005970
4740,38830080,4.926162,4.938492,0.00005942
4760,38993920,4.957641,4.938492,0.00005914
4780,39157760,5.169652,4.938492,0.00005885
4800,39321600,4.950922,5.067692,0.00005857
4820,39485440,4.899902,5.067692,0.00005828
4840,39649280,5.132369,5.067692,0.00005800
4860,39813120,5.100390,5.067692,0.00005771
4880,39976960,5.011017,5.067692,0.00005743
4900,40140800,5.101901,5.067692,0.00005714
4920,40304640,4.866963,5.067692,0.00005686
4940,40468480,5.129523,5.067692,0.00005657
4960,40632320,4.839132,5.067692,0.00005629
4980,40796160,4.873271,5.067692,0.00005600
5000,40960000,4.858732,5.065428,0.00005571
5020,41123840,4.709791,5.065428,0.00005543
5040,41287680,4.839023,5.065428,0.00005514
5060,41451520,4.868843,5.065428,0.00005486
5080,41615360,5.007594,5.065428,0.00005457
5100,41779200,4.855382,5.065428,0.00005429
5120,41943040,4.660975,5.065428,0.00005400
5140,42106880,4.937717,5.065428,0.00005371
5160,42270720,4.956872,5.065428,0.00005343
5180,42434560,4.988196,5.065428,0.00005314
5200,42598400,4.873656,4.853580,0.00005286
5220,42762240,5.002291,4.853580,0.00005257
5240,42926080,4.651416,4.853580,0.00005229
5260,43089920,4.950187,4.853580,0.00005200
5280,43253760,4.870741,4.853580,0.00005172
5300,43417600,4.988803,4.853580,0.00005143
5320,43581440,5.060551,4.853580,0.00005115
5340,43745280,4.990447,4.853580,0.00005086
5360,43909120,4.789572,4.853580,0.00005058
5380,44072960,4.802215,4.853580,0.00005030
5400,44236800,4.919402,4.979334,0.00005001
5420,44400640,5.075740,4.979334,0.00004973
5440,44564480,4.863380,4.979334,0.00004945
5460,44728320,4.753252,4.979334,0.00004916
5480,44892160,4.885643,4.979334,0.00004888
5500,45056000,4.937496,4.979334,0.00004860
5520,45219840,4.623319,4.979334,0.00004831
5540,45383680,4.766731,4.979334,0.00004803
5560,45547520,5.132451,4.979334,0.00004775
5580,45711360,4.839521,4.979334,0.00004747
5600,45875200,4.958675,4.969447,0.00004719
5620,46039040,4.907378,4.969447,0.00004690
5640,46202880,4.938394,4.969447,0.00004662
5660,46366720,4.988658,4.969447,0.00004634
5680,46530560,4.918948,4.969447,0.00004606
5700,46694400,4.734119,4.969447,0.00004578
5720,46858240,4.843690,4.969447,0.00004550
5740,47022080,4.674952,4.969447,0.00004523
5760,47185920,4.811330,4.969447,0.00004495
5780,47349760,4.860284,4.969447,0.00004467
5800,47513600,4.998845,4.829995,0.00004439
5820,47677440,4.910161,4.829995,0.00004411
5840,47841280,4.737162,4.829995,0.00004384
5860,48005120,4.795388,4.829995,0.00004356
5880,48168960,4.852772,4.829995,0.00004328
5900,48332800,4.870092,4.829995,0.00004301
5920,48496640,4.877292,4.829995,0.00004273
5940,48660480,4.763385,4.829995,0.00004246
5960,48824320,4.879141,4.829995,0.00004219
5980,48988160,4.848729,4.829995,0.00004191
6000,49152000,4.917037,4.934669,0.00004164
6020,49315840,4.957753,4.934669,0.00004137
6040,49479680,4.811037,4.934669,0.00004109
6060,49643520,4.609505,4.934669,0.00004082
6080,49807360,4.813132,4.934669,0.00004055
6100,49971200,4.922301,4.934669,0.00004028
6120,50135040,4.767355,4.934669,0.00004001
6140,50298880,4.766114,4.934669,0.00003974
6160,50462720,4.836288,4.934669,0.00003947
6180,50626560,4.816075,4.934669,0.00003921
6200,50790400,4.943524,4.759083,0.00003894
6220,50954240,4.982807,4.759083,0.00003867
6240,51118080,4.830044,4.759083,0.00003841
6260,51281920,4.836003,4.759083,0.00003814
6280,51445760,4.780929,4.759083,0.00003788
6300,51609600,4.897829,4.759083,0.00003761
6320,51773440,4.893480,4.759083,0.00003735
6340,51937280,4.629559,4.759083,0.00003709
6360,52101120,4.549642,4.759083,0.00003683
6380,52264960,4.922484,4.759083,0.00003657
6400,52428800,4.761873,4.751686,0.00003631
6420,52592640,4.840715,4.751686,0.00003605
6440,52756480,4.826234,4.751686,0.00003579
6460,52920320,4.685928,4.751686,0.00003553
6480,53084160,4.656969,4.751686,0.00003527
6500,53248000,5.116121,4.751686,0.00003502
6520,53411840,4.750078,4.751686,0.00003476
6540,53575680,4.740466,4.751686,0.00003451
6560,53739520,4.768295,4.751686,0.00003425
6580,53903360,4.701981,4.751686,0.00003400
6600,54067200,4.904323,4.929204,0.00003375
6620,54231040,4.828267,4.929204,0.00003350
6640,54394880,4.698002,4.929204,0.00003325
6660,54558720,5.009831,4.929204,0.00003300
6680,54722560,4.672998,4.929204,0.00003275
6700,54886400,4.798307,4.929204,0.00003250
6720,55050240,4.907326,4.929204,0.00003225
6740,55214080,4.775992,4.929204,0.00003201
6760,55377920,4.929301,4.929204,0.00003176
6780,55541760,4.759186,4.929204,0.00003152
6800,55705600,4.861600,4.929634,0.00003127
6820,55869440,4.617031,4.929634,0.00003103
6840,56033280,5.043527,4.929634,0.00003079
6860,56197120,5.071926,4.929634,0.00003055
6880,56360960,4.768831,4.929634,0.00003031
6900,56524800,4.718683,4.929634,0.00003007
6920,56688640,4.834534,4.929634,0.00002984
6940,56852480,4.708377,4.929634,0.00002960
6960,57016320,4.718611,4.929634,0.00002936
6980,57180160,4.855433,4.929634,0.00002913
7000,57344000,4.684606,4.800315,0.00002890
7020,57507840,4.732316,4.800315,0.00002867
7040,57671680,4.838536,4.800315,0.00002843
7060,57835520,4.717407,4.800315,0.00002820
7080,57999360,4.794830,4.800315,0.00002798
7100,58163200,4.697154,4.800315,0.00002775
7120,58327040,4.890524,4.800315,0.00002752
7140,58490880,4.754901,4.800315,0.00002730
7160,58654720,4.844532,4.800315,0.00002707
7180,58818560,4.640684,4.800315,0.00002685
7200,58982400,4.913418,4.862641,0.00002663
7220,59146240,4.768059,4.862641,0.00002640
7240,59310080,4.682937,4.862641,0.00002618
7260,59473920,4.863357,4.862641,0.00002597
7280,59637760,4.714643,4.862641,0.00002575
7300,59801600,4.720753,4.862641,0.00002553
7320,59965440,4.685540,4.862641,0.00002532
7340,60129280,4.706043,4.862641,0.00002510
7360,60293120,4.692817,4.862641,0.00002489
7380,60456960,4.672585,4.862641,0.00002468
7400,60620800,4.717934,4.668687,0.00002447
7420,60784640,4.643129,4.668687,0.00002426
7440,60948480,4.684840,4.668687,0.00002405
7460,61112320,4.917752,4.668687,0.00002384
7480,61276160,4.603943,4.668687,0.00002364
7500,61440000,4.744212,4.668687,0.00002343
7520,61603840,4.666094,4.668687,0.00002323
7540,61767680,4.802061,4.668687,0.00002303
7560,61931520,4.578411,4.668687,0.00002283
7580,62095360,4.698237,4.668687,0.00002263
7600,62259200,4.632711,4.736670,0.00002243
7620,62423040,4.696808,4.736670,0.00002224
7640,62586880,4.956453,4.736670,0.00002204
7660,62750720,4.755920,4.736670,0.00002185
7680,62914560,4.816420,4.736670,0.00002165
7700,63078400,4.727973,4.736670,0.00002146
7720,63242240,4.862499,4.736670,0.00002127
7740,63406080,4.584077,4.736670,0.00002108
7760,63569920,4.927692,4.736670,0.00002090
7780,63733760,4.978007,4.736670,0.00002071
7800,63897600,4.735157,4.829108,0.00002053
7820,64061440,4.773574,4.829108,0.00002035
7840,64225280,4.608478,4.829108,0.00002016
7860,64389120,4.737370,4.829108,0.00001998
7880,64552960,4.685445,4.829108,0.00001980
7900,64716800,4.659485,4.829108,0.00001963
7920,64880640,4.573460,4.829108,0.00001945
7940,65044480,4.896872,4.829108,0.00001928
7960,65208320,4.694679,4.829108,0.00001910
7980,65372160,4.673191,4.829108,0.00001893
8000,65536000,4.775966,4.684358,0.00001876
8020,65699840,4.775636,4.684358,0.00001859
8040,65863680,4.818747,4.684358,0.00001843
8060,66027520,4.728173,4.684358,0.00001826
8080,66191360,4.628406,4.684358,0.00001810
8100,66355200,4.606622,4.684358,0.00001793
8120,66519040,4.793448,4.684358,0.00001777
8140,66682880,4.584371,4.684358,0.00001761
8160,66846720,4.692264,4.684358,0.00001746
8180,67010560,4.609698,4.684358,0.00001730
8200,67174400,4.746106,4.726922,0.00001714
8220,67338240,4.679385,4.726922,0.00001699
8240,67502080,4.784263,4.726922,0.00001684
8260,67665920,4.915955,4.726922,0.00001669
8280,67829760,4.861007,4.726922,0.00001654
8300,67993600,4.910809,4.726922,0.00001639
8320,68157440,4.455639,4.726922,0.00001624
8340,68321280,4.634284,4.726922,0.00001610
8360,68485120,4.692942,4.726922,0.00001596
8380,68648960,4.733601,4.726922,0.00001582
8400,68812800,4.592743,4.790080,0.00001568
8420,68976640,4.751442,4.790080,0.00001554
8440,69140480,4.727491,4.790080,0.00001540
8460,69304320,4.795552,4.790080,0.00001527
8480,69468160,4.819866,4.790080,0.00001513
8500,69632000,4.861535,4.790080,0.00001500
8520,69795840,4.676466,4.790080,0.00001487
8540,69959680,4.635456,4.790080,0.00001474
8560,70123520,4.576052,4.790080,0.00001462
8580,70287360,4.833929,4.790080,0.00001449
8600,70451200,4.784837,4.805713,0.00001437
8620,70615040,4.521545,4.805713,0.00001425
8640,70778880,4.550096,4.805713,0.00001413
8660,70942720,4.676201,4.805713,0.00001401
8680,71106560,4.807711,4.805713,0.00001389
8700,71270400,4.501690,4.805713,0.00001378
8720,71434240,4.969189,4.805713,0.00001366
8740,71598080,4.627295,4.805713,0.00001355
8760,71761920,4.807471,4.805713,0.00001344
8780,71925760,4.864233,4.805713,0.00001333
8800,72089600,4.730486,4.754078,0.00001322
8820,72253440,4.663184,4.754078,0.00001312
8840,72417280,4.565419,4.754078,0.00001301
8860,72581120,4.755572,4.754078,0.00001291
8880,72744960,4.663047,4.754078,0.00001281
8900,72908800,4.725479,4.754078,0.00001271
8920,73072640,4.811552,4.754078,0.00001262
8940,73236480,4.689089,4.754078,0.00001252
8960,73400320,4.536135,4.754078,0.00001243
8980,73564160,4.488320,4.754078,0.00001234
9000,73728000,4.638717,4.748270,0.00001225
9020,73891840,4.729537,4.748270,0.00001216
9040,74055680,4.701438,4.748270,0.00001207
9060,74219520,4.752475,4.748270,0.00001199
9080,74383360,4.690802,4.748270,0.00001190
9100,74547200,4.774415,4.748270,0.00001182
9120,74711040,4.686290,4.748270,0.00001174
9140,74874880,4.776153,4.748270,0.00001167
9160,75038720,4.840172,4.748270,0.00001159
9180,75202560,4.533419,4.748270,0.00001151
9200,75366400,4.766803,4.738307,0.00001144
9220,75530240,4.567009,4.738307,0.00001137
9240,75694080,4.761798,4.738307,0.00001130
9260,75857920,4.478454,4.738307,0.00001124
9280,76021760,4.829498,4.738307,0.00001117
9300,76185600,4.876515,4.738307,0.00001111
9320,76349440,4.824996,4.738307,0.00001104
9340,76513280,4.603815,4.738307,0.00001098
9360,76677120,4.774040,4.738307,0.00001092
9380,76840960,4.578226,4.738307,0.00001087
9400,77004800,4.787373,4.836085,0.00001081
9420,77168640,4.670277,4.836085,0.00001076
9440,77332480,4.688662,4.836085,0.00001071
9460,77496320,4.679833,4.836085,0.00001066
9480,77660160,4.687756,4.836085,0.00001061
9500,77824000,4.700298,4.836085,0.00001057
9520,77987840,4.659929,4.836085,0.00001052
9540,78151680,4.552151,4.836085,0.00001048
9560,78315520,4.626324,4.836085,0.00001044
9580,78479360,4.757458,4.836085,0.00001040
9600,78643200,4.729667,4.742253,0.00001036
9620,78807040,4.651930,4.742253,0.00001033
9640,78970880,4.649148,4.742253,0.00001029
9660,79134720,4.723073,4.742253,0.00001026
9680,79298560,4.657523,4.742253,0.00001023
9700,79462400,4.941049,4.742253,0.00001020
9720,79626240,4.709403,4.742253,0.00001018
9740,79790080,4.671977,4.742253,0.00001015
9760,79953920,4.398514,4.742253,0.00001013
9780,80117760,4.505961,4.742253,0.00001011
9800,80281600,4.686317,4.695252,0.00001009
9820,80445440,4.656692,4.695252,0.00001007
9840,80609280,4.675451,4.695252,0.00001006
9860,80773120,4.774180,4.695252,0.00001004
9880,80936960,4.592047,4.695252,0.00001003
9900,81100800,4.677813,4.695252,0.00001002
9920,81264640,4.580299,4.695252,0.00001001
