step,tokens_seen,train_loss,val_loss,learning_rate
2460,20152320,2.982742,2.673284,0.00002661
2480,20316160,2.850298,2.673284,0.00002655
2500,20480000,2.536432,2.673284,0.00002649
2520,20643840,2.551506,2.673284,0.00002644
2540,20807680,2.801300,2.673284,0.00002638
2560,20971520,3.311574,2.673284,0.00002632
2580,21135360,2.869226,2.673284,0.00002626
2600,21299200,2.806390,2.719905,0.00002620
2620,21463040,2.525350,2.719905,0.00002614
2640,21626880,2.875778,2.719905,0.00002608
2660,21790720,2.468545,2.719905,0.00002602
2680,21954560,2.969794,2.719905,0.00002595
2700,22118400,2.854540,2.719905,0.00002589
2720,22282240,2.580274,2.719905,0.00002583
2740,22446080,2.775189,2.719905,0.00002577
2760,22609920,2.537396,2.719905,0.00002570
2780,22773760,2.544728,2.719905,0.00002564
2800,22937600,2.848038,2.584764,0.00002558
2820,23101440,2.686238,2.584764,0.00002551
2840,23265280,2.687365,2.584764,0.00002545
2860,23429120,2.441911,2.584764,0.00002538
2880,23592960,2.627976,2.584764,0.00002532
2900,23756800,2.964423,2.584764,0.00002525
2920,23920640,2.684801,2.584764,0.00002518
2940,24084480,2.970911,2.584764,0.00002512
2960,24248320,2.831734,2.584764,0.00002505
2980,24412160,3.013750,2.584764,0.00002498
3000,24576000,2.760298,2.866825,0.00002492
3020,24739840,2.834270,2.866825,0.00002485
3040,24903680,2.102621,2.866825,0.00002478
3060,25067520,2.689889,2.866825,0.00002471
3080,25231360,2.732956,2.866825,0.00002464
3100,25395200,2.693090,2.866825,0.00002457
3120,25559040,2.670521,2.866825,0.00002450
3140,25722880,2.634968,2.866825,0.00002444
3160,25886720,2.915750,2.866825,0.00002436
3180,26050560,2.845390,2.866825,0.00002429
3200,26214400,2.537069,2.801652,0.00002422
3220,26378240,2.904000,2.801652,0.00002415
3240,26542080,2.741765,2.801652,0.00002408
3260,26705920,2.469012,2.801652,0.00002401
3280,26869760,2.612122,2.801652,0.00002394
3300,27033600,2.655657,2.801652,0.00002386
3320,27197440,2.721077,2.801652,0.00002379
3340,27361280,2.639014,2.801652,0.00002372
3360,27525120,2.550991,2.801652,0.00002365
3380,27688960,2.662388,2.801652,0.00002357
3400,27852800,2.628498,2.704229,0.00002350
3420,28016640,2.540937,2.704229,0.00002342
3440,28180480,2.804250,2.704229,0.00002335
3460,28344320,2.256015,2.704229,0.00002327
3480,28508160,2.822200,2.704229,0.00002320
3500,28672000,2.465418,2.704229,0.00002312
3520,28835840,3.003754,2.704229,0.00002305
3540,28999680,2.846046,2.704229,0.00002297
3560,29163520,2.677365,2.704229,0.00002290
3580,29327360,2.612928,2.704229,0.00002282
3600,29491200,2.543651,2.716471,0.00002274
3620,29655040,2.650874,2.716471,0.00002267
3640,29818880,2.780683,2.716471,0.00002259
3660,29982720,2.211545,2.716471,0.00002251
3680,30146560,2.386711,2.716471,0.00002244
3700,30310400,2.953988,2.716471,0.00002236
3720,30474240,2.268055,2.716471,0.00002228
3740,30638080,2.920823,2.716471,0.00002220
3760,30801920,2.427297,2.716471,0.00002212
3780,30965760,2.680440,2.716471,0.00002204
3800,31129600,2.597307,2.739209,0.00002196
3820,31293440,2.952512,2.739209,0.00002189
3840,31457280,2.538037,2.739209,0.00002181
3860,31621120,2.894694,2.739209,0.00002173
3880,31784960,2.887734,2.739209,0.00002165
3900,31948800,2.636407,2.739209,0.00002157
3920,32112640,2.522283,2.739209,0.00002149
3940,32276480,2.412282,2.739209,0.00002141
3960,32440320,2.519491,2.739209,0.00002132
3980,32604160,2.427291,2.739209,0.00002124
4000,32768000,2.577220,2.743291,0.00002116
4020,32931840,2.689916,2.743291,0.00002108
4040,33095680,2.982061,2.743291,0.00002100
4060,33259520,2.783158,2.743291,0.00002092
4080,33423360,2.886173,2.743291,0.00002084
4100,33587200,2.699123,2.743291,0.00002075
4120,33751040,2.584587,2.743291,0.00002067
4140,33914880,2.421842,2.743291,0.00002059
4160,34078720,2.658570,2.743291,0.00002051
4180,34242560,2.609727,2.743291,0.00002042
4200,34406400,2.685351,2.877177,0.00002034
4220,34570240,2.912174,2.877177,0.00002026
4240,34734080,2.659232,2.877177,0.00002017
4260,34897920,2.814552,2.877177,0.00002009
4280,35061760,2.462828,2.877177,0.00002001
4300,35225600,2.569077,2.877177,0.00001992
4320,35389440,2.290203,2.877177,0.00001984
4340,35553280,2.589374,2.877177,0.00001976
4360,35717120,2.357147,2.877177,0.00001967
4380,35880960,2.481042,2.877177,0.00001959
4400,36044800,2.657994,2.667874,0.00001950
4420,36208640,2.698875,2.667874,0.00001942
4440,36372480,2.598000,2.667874,0.00001934
4460,36536320,2.979536,2.667874,0.00001925
4480,36700160,2.215707,2.667874,0.00001917
4500,36864000,3.140163,2.667874,0.00001908
4520,37027840,2.530312,2.667874,0.00001900
4540,37191680,2.567293,2.667874,0.00001891
4560,37355520,2.430098,2.667874,0.00001883
4580,37519360,2.742763,2.667874,0.00001874
4600,37683200,2.581738,2.502513,0.00001865
4620,37847040,2.489166,2.502513,0.00001857
4640,38010880,2.446522,2.502513,0.00001848
4660,38174720,2.625973,2.502513,0.00001840
4680,38338560,2.851861,2.502513,0.00001831
4700,38502400,2.764656,2.502513,0.00001823
4720,38666240,2.849290,2.502513,0.00001814
